title,description,thumbnail
靈光乍現,你聲稱昨晚接收到來自神的語音指令。,card_thumbnail_1
匿名檢舉信,有人向政府投訴我們操控人心。,card_thumbnail_2
週年慶活動,要不要辦個大型聚會來慶祝教團成立？,card_thumbnail_3
信徒瘋狂捐款,一位信徒要把房子賣了捐給你。,card_thumbnail_4
信仰進修課程,是否推出付費「超級覺醒」線上課？,card_thumbnail_5
神聖代言邀請,一個保健品品牌要你代言「靈氣能量飲」。,card_thumbnail_6
新信徒試煉,有信徒建議設立考驗儀式，以篩選「真心人」。,card_thumbnail_7
信徒入戲太深,一位信徒自稱看見你身後發光。,card_thumbnail_8
自創經文,你有想法寫一本「靈光語錄」當聖典。,card_thumbnail_9
境外分教,某信徒想在海外開分部。,card_thumbnail_10
神諭中的懲罰,你宣稱神對不信者感到震怒，需要採取行動以示懲戒。,card_thumbnail_11
內部叛變,一小群資深信徒質疑你的領導地位，並暗中聚集支持者。,card_thumbnail_12
捐獻的奇蹟,一名富有的信徒提出巨額捐款，但希望在教團中獲得特權。,card_thumbnail_13
神聖儀式曝光,有媒體曝光了教團的一場秘密儀式，引發社會關注。,card_thumbnail_14
末日預言,你突然宣稱世界將在三個月內毀滅，信徒們陷入恐慌。,card_thumbnail_15
神諭之夜,你夢見一位神秘人物，傳達了未來的預言。,card_thumbnail_16
能量水晶的啟示,你聲稱一塊水晶賦予你治癒的能力。,card_thumbnail_17
靈魂出竅體驗,你宣稱自己經歷了靈魂出竅的神秘經歷。,card_thumbnail_18
神秘符號的出現,你在冥想時看到了一組神秘的符號。,card_thumbnail_19
神聖植物的啟示,你聲稱某種植物能夠開啟心靈的視野。,card_thumbnail_20
資金挪用醜聞,外界揭露領導層將捐款用於豪華生活，信徒開始質疑。,card_thumbnail_21
虐待指控,前成員爆料教團內部存在精神與身體虐待。,card_thumbnail_22
核心內鬥,高層成員因利益分配不均開始互相攻擊，局勢緊張。,card_thumbnail_23
非法資金來源曝光,教團資金來源中包含洗錢與地下交易紀錄，被媒體揭露。,card_thumbnail_24
媒體全面追擊,主流媒體開始集中火力揭露教團黑幕，信譽急速下滑。,card_thumbnail_25
成員流失潮,大量普通成員開始退出，導致信徒人數大幅減少。,card_thumbnail_26
領袖健康惡化,領袖出現健康問題，導致教團未來陷入不確定。,card_thumbnail_27
內部分裂,一部分高層叛逃，自立新教派，並指責你的教團腐敗墮落。,card_thumbnail_28
司法調查展開,政府部門開始正式調查教團運作，凍結部分資產。,card_thumbnail_29
領導者逃亡,在壓力山大之下，你考慮是否潛逃國外以避免牢獄之災。,card_thumbnail_30
獻祭,你私下向總統建議，『獻祭年輕靈魂』能換取國運昌隆。,ship_card_thumbnail_1
沉船,當船體傾斜，信徒們向你請求指示。,ship_card_thumbnail_2
救援,政府機構行動遲緩，似乎有人刻意拖延時間，只讓少部分人獲救。,ship_card_thumbnail_3
怒火,家屬在媒體上痛批教團與政府勾結，要求徹查。,ship_card_thumbnail_4
春日,部分家屬懷疑這場悲劇是有計劃的獻祭行動，陰謀論在國內蔓延。,ship_card_thumbnail_5
你在教育一個反派,對不起教主，你的皮夾掉了,wallet_card_thumbnail_1
你弄掉的,什麼？我看到你弄掉的。拿去。,wallet_card_thumbnail_2
就是你的,就是你的 我要當一個好人 把皮夾還給你,wallet_card_thumbnail_3
不是我的（再次）,你不是教主嗎,wallet_card_thumbnail_4
不是我的（再再次）,這是你的身分證,wallet_card_thumbnail_5
不是我的（再再次）,這張身分證就放在皮夾裡，所以就一定可以證明，這是你的皮夾。,wallet_card_thumbnail_6
拿回去,拿回去,wallet_card_thumbnail_7
不是我的（再再再再次）,大呆頭，皮夾拿回去，不然我打斷你的手,wallet_card_thumbnail_8
